MER opacity measurements for Pancam 440-nm solar filter images.
Flux_1AU = 3660.55 DN ms-1 in the current best fit.
Abs_Err = 0.0300000 (absolute error in tau derivation at AM=1).
The date of the current best fit is 2018-Dec-07 21:12:25 UTC.
N_ENTRIES = 8697

Comments or questions to Mark Lemmon, lemmon@tamu.edu.

  Product_ID,                    L_s,  R_au,     Sol,     AM,    Flux,    TAU, Rel_err
"1P129962820ESF0352P2600L8M1", -10.7, 1.531,  19.525,  1.013, 606.933,  0.915,   0.036
"1P129965424ESF0352F0006L8M1", -10.6, 1.531,  19.554,  1.061, 568.247,  0.935,   0.034
"1P129966794ESF0352P2600L8M1", -10.6, 1.531,  19.570,  1.104, 550.968,  0.928,   0.033
"1P129970588ESF0352P2600L8M1", -10.6, 1.531,  19.613,  1.310, 472.452,  0.899,   0.028
"1P130042949ESF0352P2600L8M1", -10.2, 1.532,  20.428,  1.112, 526.288,  0.962,   0.033
"1P130052037ESF0382F0006L8M1", -10.1, 1.532,  20.530,  1.019, 619.290,  0.888,   0.036
"1P130053464ESF0382P2600L8M1", -10.1, 1.532,  20.546,  1.044, 597.544,  0.902,   0.035
"1P130057295ESF0382P2600L8M1", -10.1, 1.533,  20.589,  1.179, 518.980,  0.917,   0.031
"1P130057342ESF0382P2663L8M1", -10.1, 1.533,  20.590,  1.182, 520.971,  0.912,   0.031
"1P130131531ESF0382P2600L8M1",  -9.7, 1.534,  21.426,  1.118, 530.703,  0.946,   0.033
"1P130140300ESF0382P2600L8M1",  -9.6, 1.534,  21.525,  1.013, 602.710,  0.919,   0.036
"1P130145141ESF0382P2600L8M1",  -9.6, 1.534,  21.579,  1.136, 548.775,  0.902,   0.032
"1P130220304ESF0382P2600L8M1",  -9.1, 1.535,  22.426,  1.118, 527.637,  0.950,   0.033
"1P130228733ESF0400P2619L8M1",  -9.1, 1.535,  22.521,  1.009, 616.441,  0.899,   0.036
"1P130232682ESF0400P2600L8M1",  -9.0, 1.535,  22.565,  1.090, 570.402,  0.903,   0.034
"1P130242193ESF0400P2856L8M1",  -9.0, 1.535,  22.673,  2.091, 242.214,  0.881,   0.018
"1P130243062ESF0400P2600L8M1",  -9.0, 1.535,  22.682,  2.353, 190.376,  0.885,   0.017
"1P130246095ETH0400P2600L8M1",  -9.0, 1.535,  22.716,  4.289,  31.380,  0.903,   0.018
"1P130309395ESF0400P2600L8M1",  -8.6, 1.536,  23.430,  1.105, 529.199,  0.957,   0.033
"1P130316161ESF0400P2600L8M1",  -8.6, 1.536,  23.506,  1.001, 609.236,  0.916,   0.036
"1P130320492ESF0400P2600L8M1",  -8.5, 1.536,  23.555,  1.062, 583.232,  0.905,   0.035
"1P130500291ESF0448F0006L8M1",  -7.5, 1.539,  25.580,  1.140, 555.029,  0.882,   0.032
"1P130502033ESF0448P2600L8M1",  -7.4, 1.539,  25.600,  1.232, 508.616,  0.888,   0.030
"1P130504145ESF0448P2600L8M1",  -7.4, 1.539,  25.624,  1.395, 447.526,  0.876,   0.026
"1P130575406ESF0448P2600L8M1",  -7.0, 1.540,  26.427,  1.115, 549.110,  0.911,   0.033
"1P130584911ESF0448P2600L8M1",  -7.0, 1.540,  26.534,  1.023, 618.055,  0.878,   0.035
"1P130588106ESF0454P2600L8M1",  -6.9, 1.540,  26.570,  1.103, 573.625,  0.882,   0.033
"1P130597497ESF0454P2618L8M1",  -6.9, 1.541,  26.676,  2.165, 239.921,  0.851,   0.017
"1P130664382ESF0454P2600L8M1",  -6.5, 1.542,  27.429,  1.107, 559.568,  0.899,   0.033
"1P130668374ESF0454P2600L8M1",  -6.5, 1.542,  27.474,  1.013, 628.785,  0.866,   0.036
"1P130675892ESF0454P2600L8M1",  -6.4, 1.542,  27.559,  1.071, 597.708,  0.867,   0.034
"1P130757901ESF0454P2600L8M1",  -5.9, 1.543,  28.483,  1.006, 612.458,  0.898,   0.036
"1P130765236ESF0454P2600L8M1",  -5.9, 1.543,  28.565,  1.089, 576.259,  0.885,   0.033
"1P130850992ESF0454P2600L8M1",  -5.4, 1.544,  29.531,  1.020, 644.666,  0.834,   0.036
"1P130930345ESF0454P2600L8M1",  -4.9, 1.545,  30.426,  1.119, 567.242,  0.873,   0.033
"1P130933682ESF0454F0006L8M1",  -4.9, 1.546,  30.463,  1.027, 626.461,  0.852,   0.035
"1P130935464ESF0454P2600L8M1",  -4.9, 1.546,  30.483,  1.006, 642.768,  0.846,   0.036
"1P131017958ESF0454P2600L8M1",  -4.4, 1.547,  31.413,  1.169, 538.557,  0.877,   0.031
"1P131024227ESF0454P2600L8M1",  -4.4, 1.547,  31.483,  1.005, 641.501,  0.846,   0.036
"1P131034463ESF0454P2600L8M1",  -4.3, 1.547,  31.599,  1.224, 548.190,  0.824,   0.030
"1P131036013ESF0454P2600L8M1",  -4.3, 1.547,  31.616,  1.334, 495.557,  0.831,   0.027
"1P131104665ESF0454P2600L8M1",  -3.9, 1.548,  32.390,  1.295, 505.167,  0.840,   0.029
"1P131110920ESF0454P2600L8M1",  -3.9, 1.548,  32.460,  1.032, 644.202,  0.819,   0.035
"1P131113021ESF0454P2600L8M1",  -3.9, 1.548,  32.484,  1.005, 653.709,  0.827,   0.036
"1P131113072ESF0454P2619L8M1",  -3.9, 1.548,  32.484,  1.005, 654.329,  0.826,   0.036
"1P131119554ESF0500P2600L8M1",  -3.8, 1.548,  32.557,  1.068, 610.427,  0.843,   0.034
"1P131123319ESF0500P2600L8M1",  -3.8, 1.548,  32.600,  1.230, 532.925,  0.842,   0.030
"1P131374751ESF0500P2600L8M1",  -2.3, 1.552,  35.432,  1.096, 611.981,  0.813,   0.033
"1P131379314ESF0500P2600L8M1",  -2.3, 1.552,  35.484,  1.005, 671.010,  0.795,   0.036
"1P131393891ESF0510P2600L8M1",  -2.2, 1.552,  35.648,  1.657, 402.655,  0.792,   0.022
"1P131462651ESF0510P2600L8M1",  -1.8, 1.553,  36.423,  1.129, 573.644,  0.846,   0.032
"1P131552546ESF0538P2600L8M1",  -1.3, 1.555,  37.436,  1.087, 607.060,  0.824,   0.034
"1P131561617ESF0538P2600L8M1",  -1.2, 1.555,  37.538,  1.029, 661.510,  0.787,   0.035
"1P131641337ESF0544P2664L8M1",  -0.8, 1.556,  38.436,  1.086, 603.554,  0.829,   0.034
"1P131643412ESF0544P2600L8M1",  -0.8, 1.556,  38.459,  1.033, 631.089,  0.828,   0.035
"1P131644477ESF0544P2619L8M1",  -0.8, 1.556,  38.471,  1.017, 645.544,  0.819,   0.035
"1P131646034ESF0544P2600L8M1",  -0.8, 1.556,  38.489,  1.003, 659.171,  0.810,   0.036
"1P131657315ESF0544P2600L8M1",  -0.7, 1.556,  38.616,  1.335, 510.030,  0.800,   0.027
"1P131731246ESF0544P2600L8M1",  -0.3, 1.557,  39.449,  1.053, 619.387,  0.828,   0.034
"1P131733002ESF0544P2600L8M1",  -0.2, 1.557,  39.469,  1.020, 640.787,  0.822,   0.035
"1P131743298ESF0574P2600L8M1",  -0.2, 1.557,  39.585,  1.159, 586.510,  0.800,   0.031
"1P131818871ESF0574P2600L8M1",   0.2, 1.558,  40.436,  1.086, 584.309,  0.856,   0.034
"1P131824903ESF0574P2600L8M1",   0.3, 1.558,  40.504,  1.001, 653.390,  0.818,   0.036
"1P131836337ESF05A6F0006L8M1",   0.3, 1.559,  40.633,  1.482, 452.215,  0.797,   0.024
"1P131837060ESF05A6F0006L8M1",   0.4, 1.559,  40.641,  1.570, 419.458,  0.802,   0.023
"1P131899447ESF05A6P2667L8M1",   0.7, 1.560,  41.344,  1.773, 328.414,  0.848,   0.023
"1P131907641ESF05A6P2600L8M1",   0.8, 1.560,  41.436,  1.085, 598.268,  0.833,   0.033
"1P132017333ESF05A6P2600L8M1",   1.4, 1.561,  42.672,  2.092, 258.237,  0.833,   0.018
"1P132088649ESF05A6P2600L8M1",   1.8, 1.562,  43.476,  1.013, 653.287,  0.803,   0.036
"1P132093994ESF05A6P2600L8M1",   1.8, 1.562,  43.536,  1.027, 648.529,  0.799,   0.035
"1P132176053ESF05A6P2669L8M1",   2.3, 1.563,  44.461,  1.033, 649.102,  0.792,   0.035
"1P132181214ESF05A6P2600L8M1",   2.3, 1.563,  44.519,  1.008, 667.651,  0.784,   0.036
"1P132187661ESF05AMP2617L8M1",   2.4, 1.564,  44.591,  1.190, 573.215,  0.791,   0.030
"1P132189399ESF05AMP2600L8M1",   2.4, 1.564,  44.611,  1.301, 508.306,  0.816,   0.028
"1P132261701ESF05AMP2600L8M1",   2.8, 1.565,  45.426,  1.121, 611.866,  0.780,   0.033
"1P132262678ESF05AMP2600L8M1",   2.8, 1.565,  45.437,  1.086, 630.089,  0.778,   0.033
"1P132264039ESF05AMP2600L8M1",   2.8, 1.565,  45.452,  1.049, 648.765,  0.778,   0.034
"1P132265526ESF05AMP2600L8M1",   2.8, 1.565,  45.469,  1.021, 665.789,  0.774,   0.035
"1P132269210ESF05AMP2600L8M1",   2.8, 1.565,  45.510,  1.004, 687.742,  0.755,   0.036
"1P132272937ESF05AMP2600L8M1",   2.9, 1.565,  45.552,  1.057, 657.962,  0.759,   0.034
"1P132276944ESF05AMP2600L8M1",   2.9, 1.565,  45.597,  1.220, 571.220,  0.774,   0.030
"1P132279758ESF05AMP2600L8M1",   2.9, 1.565,  45.629,  1.444, 457.288,  0.807,   0.025
"1P132283067ESF05AMP2600L8M1",   2.9, 1.565,  45.666,  1.962, 329.313,  0.762,   0.018
"1P132351310ESF05AMP2600L8M1",   3.3, 1.566,  46.435,  1.090, 628.781,  0.776,   0.033
"1P132356919ESF05AMP2600L8M1",   3.3, 1.566,  46.498,  1.002, 674.184,  0.775,   0.036
"1P132365709ESF05AMP2600L8M1",   3.4, 1.566,  46.597,  1.221, 565.967,  0.780,   0.030
"1P132370737ESF05AMP2671L8M1",   3.4, 1.566,  46.654,  1.746, 360.820,  0.803,   0.021
"1P132443528ESF05AMP2600L8M1",   3.8, 1.567,  47.474,  1.015, 664.032,  0.778,   0.036
"1P132446850ESF05AMP2673L8M1",   3.9, 1.567,  47.512,  1.005, 673.605,  0.772,   0.036
"1P132454079ESF0600P2600L8M1",   3.9, 1.567,  47.593,  1.199, 580.612,  0.771,   0.030
"1P132530545ESF0600P2600L8M1",   4.3, 1.568,  48.455,  1.044, 660.257,  0.761,   0.035
"1P132532537ESF0600P2600L8M1",   4.3, 1.568,  48.477,  1.013, 678.938,  0.757,   0.036
"1P132618781ESF0602P2600L8M1",   4.8, 1.570,  49.449,  1.056, 667.452,  0.739,   0.034
"1P132627426ESF0602P2600L8M1",   4.9, 1.570,  49.546,  1.046, 672.856,  0.740,   0.035
"1P132706622ESF0602P2600L8M1",   5.3, 1.571,  50.438,  1.082, 643.229,  0.754,   0.034
"1P132710203ESF0602P2600L8M1",   5.4, 1.571,  50.479,  1.012, 676.925,  0.757,   0.036
"1P132725504ESF06A8F0006L8M1",   5.4, 1.571,  50.651,  1.706, 394.172,  0.764,   0.021
"1P132726881ESF06A8P2600L8M1",   5.4, 1.571,  50.667,  1.975, 319.506,  0.768,   0.019
"1P132796072ESF06A8P2617L8M1",   5.8, 1.572,  51.446,  1.062, 646.365,  0.763,   0.034
"1P132796507ESF06A8P2600L8M1",   5.8, 1.572,  51.451,  1.052, 652.435,  0.762,   0.034
"1P132801418ESF06A8P2600L8M1",   5.9, 1.572,  51.506,  1.004, 683.246,  0.752,   0.036
"1P132813054ESF06ASP2600L8M1",   5.9, 1.572,  51.638,  1.534, 429.803,  0.794,   0.024
"1P132884797ESF06ASP2600L8M1",   6.3, 1.573,  52.446,  1.063, 639.886,  0.770,   0.034
"1P132887397ESF06ASP2600L8M1",   6.4, 1.573,  52.475,  1.015, 668.398,  0.764,   0.036
"1P132889472ESF06ASP2600L8M1",   6.4, 1.573,  52.499,  1.003, 678.432,  0.758,   0.036
"1P132976183ESF06BGP2600L8M1",   6.9, 1.575,  53.476,  1.015, 685.096,  0.737,   0.036
"1P132979397ESF06BGP2600L8M1",   6.9, 1.575,  53.512,  1.006, 685.081,  0.743,   0.036
"1P133062662ESF06GOP2600L8M1",   7.3, 1.576,  54.450,  1.055, 658.368,  0.745,   0.034
"1P133066289ESF06GOP2600L8M1",   7.4, 1.576,  54.491,  1.006, 687.466,  0.738,   0.036
"1P133072119ESF06GOP2600L8M1",   7.4, 1.576,  54.556,  1.070, 654.104,  0.741,   0.034
"1P133072955ESF06GOP2600L8M1",   7.4, 1.576,  54.566,  1.096, 640.581,  0.743,   0.033
"1P133082997ESF06HEP2600L8M1",   7.5, 1.576,  54.679,  2.278, 236.899,  0.794,   0.017
"1P133150498ESF06HEP2600L8M1",   7.8, 1.577,  55.440,  1.080, 645.829,  0.744,   0.034
"1P133154635ESF06HEP2600L8M1",   7.9, 1.577,  55.486,  1.008, 692.603,  0.728,   0.036
"1P133163575ESF06IUF0006L8M1",   7.9, 1.577,  55.587,  1.173, 557.218,  0.811,   0.031
"1P133239274ESF0700P2600L8M1",   8.3, 1.578,  56.440,  1.080, 654.590,  0.731,   0.034
"1P133243120ESF0700P2600L8M1",   8.4, 1.578,  56.483,  1.010, 687.828,  0.733,   0.036
"1P133248337ESF0700P2600L8M1",   8.4, 1.578,  56.542,  1.040, 618.916,  0.813,   0.035
"1P133253809ESF0800P2600L8M1",   8.4, 1.578,  56.604,  1.259, 556.882,  0.756,   0.029
"1P133328977ESF0800P2600L8M1",   8.8, 1.579,  57.451,  1.055, 672.106,  0.722,   0.034
"1P133346375ESF0830P2600L8M1",   8.9, 1.580,  57.647,  1.647, 409.825,  0.763,   0.022
"1P133416823ESF0830P2600L8M1",   9.3, 1.580,  58.440,  1.080, 672.695,  0.704,   0.034
"1P133418328ESF0830P2600L8M1",   9.3, 1.580,  58.457,  1.042, 691.771,  0.702,   0.035
"1P133421164ESF0830P2600L8M1",   9.4, 1.581,  58.489,  1.008, 705.407,  0.706,   0.036
"1P133430521ESF0830P2600L8M1",   9.4, 1.581,  58.595,  1.211, 609.146,  0.709,   0.030
"1P133505290ESF0830P2600L8M1",   9.8, 1.582,  59.437,  1.089, 663.188,  0.709,   0.034
"1P133509055ESF0830P2600L8M1",   9.9, 1.582,  59.479,  1.014, 700.347,  0.707,   0.036
"1P133525866ESF0830P2600L8M1",  10.0, 1.582,  59.669,  2.030, 319.228,  0.740,   0.018
"1P133594072ESF0830P2600L8M1",  10.3, 1.583,  60.437,  1.088, 658.464,  0.714,   0.034
"1P133596659ESF0830P2600L8M1",  10.3, 1.583,  60.467,  1.029, 693.210,  0.706,   0.035
"1P133608370ESF0832P2600L8M1",  10.4, 1.583,  60.598,  1.232, 614.679,  0.687,   0.029
"1P133610264ESF0868P2600L8M1",  10.4, 1.583,  60.620,  1.373, 550.832,  0.696,   0.026
"1P133682838ESF0874P2600L8M1",  10.8, 1.584,  61.438,  1.088, 663.050,  0.706,   0.034
"1P133684349ESF0874P2600L8M1",  10.8, 1.584,  61.455,  1.049, 680.448,  0.709,   0.035
"1P133685306ESF0874P2600L8M1",  10.8, 1.584,  61.465,  1.031, 686.837,  0.712,   0.035
"1P133700039ESF08A6P2600L8M1",  10.9, 1.584,  61.631,  1.475, 504.871,  0.706,   0.025
"1P133772498ESF08A6P2600L8M1",  11.3, 1.585,  62.448,  1.063, 668.669,  0.714,   0.034
"1P133775128ESF08A6P2600L8M1",  11.3, 1.585,  62.477,  1.017, 697.247,  0.705,   0.035
"1P133787042ESF08AQP2600L8M1",  11.4, 1.585,  62.612,  1.314, 572.704,  0.696,   0.028
"1P133860081ESF08AQP2619L8M1",  11.8, 1.586,  63.435,  1.098, 667.335,  0.692,   0.033
"1P133866251ESF08AQP2600L8M1",  11.9, 1.586,  63.504,  1.008, 712.816,  0.689,   0.036
"1P133868736ESF08AQP2600L8M1",  11.9, 1.586,  63.532,  1.028, 709.712,  0.680,   0.035
"1P133870043ESF08AQP2600L8M1",  11.9, 1.586,  63.547,  1.052, 697.545,  0.681,   0.034
"1P133872516ESF08AQP2600L8M1",  11.9, 1.586,  63.575,  1.128, 658.601,  0.686,   0.032
"1P133952917ESF08AQP2600L8M1",  12.3, 1.587,  64.481,  1.015, 701.285,  0.698,   0.036
"1P133967194ESF08AQP2600L8M1",  12.4, 1.588,  64.641,  1.587, 485.837,  0.677,   0.023
"1P134041594ESF08AQP2600L8M1",  12.8, 1.589,  65.480,  1.016, 729.412,  0.657,   0.036
"1P134059653ESF08AQP2600L8M1",  12.9, 1.589,  65.683,  2.416, 276.848,  0.677,   0.016
"1P134126392ESF08AQP2600L8M1",  13.3, 1.590,  66.435,  1.098, 677.021,  0.675,   0.033
"1P134129928ESF08AQP2600L8M1",  13.3, 1.590,  66.475,  1.021, 709.485,  0.679,   0.035
"1P134144460ESF08AQP2600L8M1",  13.4, 1.590,  66.639,  1.557, 475.294,  0.702,   0.023
"1P134215931ESF08AQP2600L8M1",  13.8, 1.591,  67.444,  1.074, 692.319,  0.667,   0.034
"1P134219020ESF08AQP2600L8M1",  13.8, 1.591,  67.479,  1.018, 717.242,  0.670,   0.035
"1P134229458ESF08ASP2617L8M1",  13.9, 1.591,  67.596,  1.225, 608.725,  0.690,   0.030
"1P134232710ESF08AYP2600L8M1",  13.9, 1.591,  67.633,  1.497, 501.834,  0.693,   0.024
"1P134304448ESF08AYP2600L8M1",  14.3, 1.592,  68.441,  1.082, 690.298,  0.664,   0.034
"1P134308269ESF08AYP2600L8M1",  14.3, 1.592,  68.484,  1.015, 727.848,  0.656,   0.036
"1P134310240ESF08AYP2600L8M1",  14.3, 1.592,  68.507,  1.011, 730.988,  0.655,   0.036
"1P134311893ESF08AYP2600L8M1",  14.3, 1.592,  68.525,  1.022, 720.589,  0.661,   0.035
"1P134318096ESF08AYP2600L8M1",  14.4, 1.592,  68.595,  1.219, 614.759,  0.684,   0.030
"1P134321862ESF08AYP2600L8M1",  14.4, 1.592,  68.638,  1.546, 482.553,  0.696,   0.023
"1P134394842ESF08AYP2600L8M1",  14.8, 1.593,  69.460,  1.043, 708.129,  0.663,   0.035
"1P134395956ESF08AYP2600L8M1",  14.8, 1.593,  69.472,  1.026, 714.092,  0.667,   0.035
"1P134411450ESF08E9F0006L8M1",  14.9, 1.593,  69.647,  1.662, 456.479,  0.678,   0.022
"1P134414624ESF0900P2600L8M1",  14.9, 1.593,  69.683,  2.407, 273.727,  0.682,   0.016
"1P134482118ESF0902P2600L8M1",  15.3, 1.594,  70.443,  1.078, 702.924,  0.647,   0.034
"1P134483668ESF0902P2600L8M1",  15.3, 1.594,  70.461,  1.042, 717.737,  0.650,   0.035
"1P134485384ESF0902P2600L8M1",  15.3, 1.594,  70.480,  1.019, 726.432,  0.653,   0.035
"1P134491369ESF0902P2600L8M1",  15.3, 1.594,  70.547,  1.057, 701.268,  0.662,   0.034
"1P134570773ESF0922P2600L8M1",  15.8, 1.595,  71.442,  1.081, 700.243,  0.647,   0.034
"1P134572294ESF0922P2600L8M1",  15.8, 1.595,  71.459,  1.045, 719.906,  0.644,   0.035
"1P134574173ESF0922P2600L8M1",  15.8, 1.595,  71.480,  1.019, 733.292,  0.642,   0.035
"1P134592306ESF1000P2600L8M1",  15.9, 1.596,  71.685,  2.475, 250.428,  0.698,   0.016
"1P134659890ESF1000P2600L8M1",  16.2, 1.596,  72.446,  1.072, 692.495,  0.662,   0.034
"1P134675414ESF10CGF0006L8M1",  16.3, 1.597,  72.621,  1.392, 526.977,  0.703,   0.026
"1P134676243ESF10CGP2600L8M1",  16.3, 1.597,  72.630,  1.475, 468.561,  0.745,   0.024
"1P134748448ESF10CGP2600L8M1",  16.7, 1.598,  73.444,  1.078, 703.175,  0.642,   0.034
"1P134751703ESF10CGP2600L8M1",  16.8, 1.598,  73.481,  1.020, 728.531,  0.644,   0.035
"1P134763559ESF10CGP2600L8M1",  16.8, 1.598,  73.614,  1.340, 566.361,  0.678,   0.027
"1P135287083ESF10CGP2600L8M1",  19.7, 1.604,  79.513,  1.019, 733.125,  0.631,   0.035
"1P135391812ESF1100P2600L8M1",  20.3, 1.605,  80.693,  2.810, 233.100,  0.636,   0.014
"1P135454961ESF1100P2674L8M1",  20.6, 1.606,  81.404,  1.230, 666.727,  0.597,   0.031
"1P135455155ESF1100P2600L8M1",  20.6, 1.606,  81.407,  1.219, 670.714,  0.598,   0.031
"1P135544242ESF1200P2675L8M1",  21.1, 1.607,  82.410,  1.201, 694.353,  0.574,   0.031
"1P135544384ESF1200P2600L8M1",  21.1, 1.607,  82.412,  1.194, 698.010,  0.573,   0.031
"1P135550407ESF1200P2600L8M1",  21.1, 1.607,  82.480,  1.026, 759.676,  0.582,   0.035
"1P135569676ESF1300P2600L8M1",  21.2, 1.607,  82.697,  3.005, 213.236,  0.620,   0.014
"1P135633426ESF1300P2621L8M1",  21.6, 1.608,  83.415,  1.180, 700.741,  0.574,   0.032
"1P135728502ESF1400P2600L8M1",  22.1, 1.609,  84.487,  1.023, 759.076,  0.588,   0.035
"1P135733230ESF1400P2600L8M1",  22.1, 1.609,  84.540,  1.052, 732.495,  0.606,   0.034
"1P135738902ESF1407P2600L8M1",  22.1, 1.609,  84.604,  1.279, 573.712,  0.689,   0.028
"1P135814362ESF1407P2621L8M1",  22.5, 1.610,  85.454,  1.064, 743.830,  0.583,   0.034
"1P135903826ESF1409P2600L8M1",  23.0, 1.611,  86.462,  1.050, 744.201,  0.589,   0.035
"1P135905759ESF1409P2600L8M1",  23.0, 1.611,  86.484,  1.026, 752.774,  0.592,   0.035
"1P135909722ESF1409P2600L8M1",  23.1, 1.611,  86.528,  1.037, 757.963,  0.579,   0.035
"1P135991621ESF1409P2600L8M1",  23.5, 1.612,  87.451,  1.071, 748.814,  0.571,   0.034
"1P136077433ESF1500P2600L8M1",  24.0, 1.613,  88.418,  1.173, 687.258,  0.594,   0.032
"1P136081535ESF1500P2600L8M1",  24.0, 1.613,  88.464,  1.048, 745.226,  0.587,   0.034
"1P136100880ESF1500P2600L8M1",  24.1, 1.613,  88.682,  2.426, 309.868,  0.615,   0.016
"1P136178411ESF1500P2617L8M1",  24.5, 1.614,  89.556,  1.088, 710.328,  0.607,   0.033
"1P136182953ESF1500P2600L8M1",  24.5, 1.614,  89.607,  1.304, 581.238,  0.660,   0.028
